om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
494231,2014,01,11,2014-01-11,05:21:00,3,AL,1,0,0.88,0,0,0.0,0.0,33.8003,-85.7615,33.8003,-85.7615,0,0,0,0,0,15,0,0,0
494233,2014,01,11,2014-01-11,05:24:00,3,AL,1,0,1.0,0,0,0.0,0.0,33.7755,-85.7635,33.7755,-85.7635,0,0,0,0,0,15,0,0,0
494245,2014,01,11,2014-01-11,05:40:00,3,AL,1,0,1.0,0,0,0.0,0.0,33.47,-86.15,33.47,-86.15,0,0,0,0,0,121,0,0,0
496344,2014,01,11,2014-01-11,06:45:00,3,GA,13,0,1.0,0,0,0.0,0.0,34.17,-84.8,34.17,-84.8,0,0,0,0,0,15,0,0,0
496088,2014,01,11,2014-01-11,19:16:00,3,SC,45,0,0.75,0,0,0.0,0.0,34.5,-81.9673,34.5,-81.9673,0,0,0,0,0,59,0,0,0
493468,2014,01,21,2014-01-21,13:55:00,3,SC,45,0,0.88,0,0,0.0,0.0,33.04,-80.21,33.04,-80.21,0,0,0,0,0,35,0,0,0
493469,2014,01,21,2014-01-21,14:40:00,3,SC,45,0,1.0,0,0,0.0,0.0,32.76,-79.86,32.76,-79.86,0,0,0,0,0,19,0,0,0
486254,2014,01,21,2014-01-21,15:30:00,3,FL,12,0,1.0,0,0,0.0,0.0,30.34,-81.6,30.34,-81.6,0,0,0,0,0,31,0,0,0
486255,2014,01,21,2014-01-21,15:40:00,3,FL,12,0,1.0,0,0,0.0,0.0,30.28,-81.51,30.28,-81.51,0,0,0,0,0,31,0,0,0
486256,2014,01,21,2014-01-21,15:50:00,3,FL,12,0,1.5,0,0,0.0,0.0,30.28,-81.39,30.28,-81.39,0,0,0,0,0,31,0,0,0
486257,2014,01,21,2014-01-21,15:51:00,3,FL,12,0,0.88,0,0,0.0,0.0,30.27,-81.43,30.27,-81.43,0,0,0,0,0,31,0,0,0
499255,2014,02,11,2014-02-11,19:30:00,3,LA,22,0,0.75,0,0,0.0,0.0,30.55,-91.95,30.55,-91.95,0,0,0,0,0,97,0,0,0
495132,2014,02,12,2014-02-12,15:46:00,3,FL,12,0,1.0,0,0,0.0,0.0,25.94,-80.28,25.94,-80.28,0,0,0,0,0,86,0,0,0
495131,2014,02,12,2014-02-12,15:48:00,3,FL,12,0,0.75,0,0,0.0,0.0,25.9541,-80.2635,25.9541,-80.2635,0,0,0,0,0,86,0,0,0
488082,2014,02,12,2014-02-12,16:25:00,3,FL,12,0,1.0,0,0,0.0,0.0,28.81,-81.64,28.81,-81.64,0,0,0,0,0,69,0,0,0
488088,2014,02,12,2014-02-12,17:00:00,3,FL,12,0,1.0,0,0,0.0,0.0,28.27,-81.48,28.27,-81.48,0,0,0,0,0,97,0,0,0
488105,2014,02,12,2014-02-12,17:00:00,3,FL,12,0,1.0,0,0,0.0,0.0,28.27,-81.44,28.27,-81.44,0,0,0,0,0,97,0,0,0
488106,2014,02,12,2014-02-12,17:30:00,3,FL,12,0,0.75,0,0,0.0,0.0,27.49,-80.37,27.49,-80.37,0,0,0,0,0,111,0,0,0
489389,2014,02,20,2014-02-20,10:13:00,3,IA,19,0,1.0,0,0,0.0,0.0,40.95,-94.22,40.95,-94.22,0,0,0,0,0,175,0,0,0
489390,2014,02,20,2014-02-20,10:49:00,3,IA,19,0,0.75,0,0,0.0,0.0,41.363,-93.7802,41.363,-93.7802,0,0,0,0,0,181,0,0,0
489469,2014,02,20,2014-02-20,10:54:00,3,IA,19,0,1.0,0,0,0.0,0.0,41.37,-93.67,41.37,-93.67,0,0,0,0,0,181,0,0,0
489391,2014,02,20,2014-02-20,11:00:00,3,IA,19,0,0.75,0,0,0.0,0.0,41.41,-93.65,41.41,-93.65,0,0,0,0,0,181,0,0,0
489471,2014,02,20,2014-02-20,11:31:00,3,IA,19,0,1.0,0,0,0.0,0.0,40.84,-93.48,40.84,-93.48,0,0,0,0,0,185,0,0,0
489472,2014,02,20,2014-02-20,11:32:00,3,IA,19,0,0.88,0,0,0.0,0.0,40.85,-93.5,40.85,-93.5,0,0,0,0,0,185,0,0,0
489855,2014,02,20,2014-02-20,12:45:00,3,LA,22,0,1.0,0,0,0.0,0.0,33.0,-93.46,33.0,-93.46,0,0,0,0,0,119,0,0,0
504348,2014,02,20,2014-02-20,13:07:00,3,IA,19,0,0.75,0,0,0.0,0.0,41.3,-91.69,41.3,-91.69,0,0,0,0,0,183,0,0,0
504367,2014,02,20,2014-02-20,13:22:00,3,IA,19,0,0.75,0,0,0.0,0.0,41.57,-91.54,41.57,-91.54,0,0,0,0,0,103,0,0,0
504349,2014,02,20,2014-02-20,13:35:00,3,IA,19,0,1.0,0,0,0.0,0.0,42.03,-91.59,42.03,-91.59,0,0,0,0,0,113,0,0,0
503080,2014,02,20,2014-02-20,13:58:00,3,MO,29,0,1.0,0,0,0.0,0.0,39.7114,-91.3733,39.7114,-91.3733,0,0,0,0,0,127,0,0,0
504370,2014,02,20,2014-02-20,14:22:00,3,IA,19,0,0.75,0,0,0.0,0.0,40.62,-91.35,40.62,-91.35,0,0,0,0,0,111,0,0,0
496842,2014,02,20,2014-02-20,15:35:00,3,MO,29,0,0.88,0,0,0.0,0.0,36.62,-90.7298,36.62,-90.7298,0,0,0,0,0,181,0,0,0
505088,2014,02,20,2014-02-20,16:18:00,3,MO,29,0,1.75,0,0,0.0,0.0,36.05,-90.12,36.05,-90.12,0,0,0,0,0,69,0,0,0
496843,2014,02,20,2014-02-20,16:23:00,3,MO,29,0,1.0,0,0,0.0,0.0,37.2276,-89.97,37.2276,-89.97,0,0,0,0,0,17,0,0,0
496786,2014,02,20,2014-02-20,16:50:00,3,IL,17,0,1.0,0,0,0.0,0.0,37.72,-89.22,37.72,-89.22,0,0,0,0,0,77,0,0,0
496844,2014,02,20,2014-02-20,16:52:00,3,MO,29,0,0.75,0,0,0.0,0.0,37.38,-89.67,37.38,-89.67,0,0,0,0,0,31,0,0,0
502158,2014,02,20,2014-02-20,17:02:00,3,TX,48,0,1.0,0,0,0.001,0.0,29.8028,-94.9363,29.8028,-94.9363,0,0,0,0,0,201,0,0,0
496787,2014,02,20,2014-02-20,17:10:00,3,IL,17,0,1.0,0,0,0.0,0.0,37.9,-88.92,37.9,-88.8833,0,0,0,0,0,55,0,0,0
496871,2014,02,20,2014-02-20,17:35:00,3,IL,17,0,1.0,0,0,0.1,0.0,38.0855,-88.53,38.0855,-88.53,0,0,0,0,0,65,0,0,0
505218,2014,02,20,2014-02-20,17:52:00,3,TN,47,0,0.88,0,0,0.0,0.0,35.43,-88.67,35.43,-88.67,0,0,0,0,0,23,0,0,0
496788,2014,02,20,2014-02-20,17:55:00,3,IL,17,0,1.0,0,0,0.0,0.0,38.18,-88.35,38.18,-88.35,0,0,0,0,0,193,0,0,0
493102,2014,02,20,2014-02-20,18:23:00,3,MS,28,0,1.0,0,0,0.0,0.0,31.55,-90.38,31.55,-90.38,0,0,0,0,0,85,0,0,0
502553,2014,02,20,2014-02-20,18:30:00,3,MS,28,0,1.0,0,0,0.0,0.0,31.8,-88.7,31.8,-88.7,0,0,0,0,0,153,0,0,0
497310,2014,02,20,2014-02-20,19:00:00,3,TN,47,0,1.0,0,0,0.0,0.0,36.4,-87.03,36.4,-87.03,0,0,0,0,0,21,0,0,0
500533,2014,02,20,2014-02-20,19:02:00,3,IN,18,0,0.88,0,0,0.0,0.0,39.9988,-86.6198,39.9988,-86.6198,0,0,0,0,0,11,0,0,0
497327,2014,02,20,2014-02-20,19:04:00,3,TN,47,0,1.0,0,0,0.0,0.0,36.3393,-87.0235,36.3393,-87.0235,0,0,0,0,0,21,0,0,0
