om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,fc
1,1954,01,20,1954-01-20,05:30:00,3,MS,28,1,2,2,0,4.0,0.0,33.3,-88.83,33.47,-88.62,17.3,27,1,1,1,105,87,0,0,0
2,1954,01,20,1954-01-20,05:45:00,3,MS,28,2,1,0,0,3.0,0.0,33.38,-88.42,33.45,-88.37,5.6,100,1,1,1,87,0,0,0,0
3,1954,02,13,1954-02-13,10:30:00,3,CO,8,1,1,0,0,3.0,0.0,38.13,-105.47,0.0,0.0,0.5,17,1,1,1,27,0,0,0,0
4,1954,02,15,1954-02-15,20:18:00,3,AR,5,1,3,24,0,5.0,0.0,35.48,-93.48,0.0,0.0,1.0,100,1,1,1,71,0,0,0,0
5,1954,02,15,1954-02-15,22:10:00,3,AR,5,2,2,0,0,0.0,0.0,34.1,-94.15,0.0,0.0,0.1,167,1,1,1,133,0,0,0,0
6,1954,02,16,1954-02-16,02:30:00,3,AR,5,3,3,4,1,4.0,0.0,35.52,-90.22,0.0,0.0,2.0,880,1,1,1,93,0,0,0,0
7,1954,02,16,1954-02-16,19:02:00,3,SC,45,1,1,0,0,3.0,0.0,35.07,-81.65,0.0,0.0,1.0,33,1,1,1,21,0,0,0,0
8,1954,02,19,1954-02-19,05:20:00,3,TX,48,1,2,2,0,4.0,0.0,32.22,-98.68,32.25,-98.65,3.0,17,1,1,1,133,0,0,0,0
9,1954,02,19,1954-02-19,09:30:00,3,TX,48,2,1,0,0,3.0,0.0,32.95,-95.28,32.98,-95.27,2.7,17,1,1,1,499,0,0,0,0
10,1954,02,19,1954-02-19,13:30:00,3,TX,48,3,2,7,0,5.0,0.0,30.32,-95.45,30.45,-95.42,9.5,150,1,1,1,339,0,0,0,0
11,1954,02,19,1954-02-19,15:45:00,3,AR,5,4,2,1,0,4.0,0.0,34.18,-92.12,0.0,0.0,1.2,167,1,1,1,69,0,0,0,0
12,1954,02,19,1954-02-19,16:45:00,3,AR,5,5,2,0,0,2.0,0.0,35.22,-94.25,0.0,0.0,1.0,33,1,1,1,131,0,0,0,0
13,1954,02,19,1954-02-19,21:25:00,3,LA,22,1,2,4,1,3.0,0.0,30.9,-91.58,0.0,0.0,0.5,100,1,1,1,125,0,0,0,0
14,1954,02,20,1954-02-20,00:35:00,3,MS,28,3,2,10,0,5.0,0.0,31.28,-89.65,31.68,-89.23,37.1,200,1,1,1,73,31,67,0,0
15,1954,02,20,1954-02-20,01:30:00,3,MS,28,4,2,10,0,5.0,0.0,32.43,-89.23,32.62,-89.0,19.2,100,1,1,1,101,99,0,0,0
16,1954,02,20,1954-02-20,19:00:00,3,FL,12,1,1,0,0,3.0,0.0,30.9,-87.1,0.0,0.0,0.1,10,1,1,1,113,0,0,0,0
17,1954,02,21,1954-02-21,09:50:00,3,NC,37,1,1,0,0,4.0,0.0,35.2,-80.0,35.3,-79.73,16.6,27,1,1,1,123,0,0,0,0
18,1954,02,27,1954-02-27,17:40:00,3,AR,5,6,2,0,0,3.0,0.0,34.52,-90.68,34.55,-90.65,3.0,400,1,1,1,107,0,0,0,0
19,1954,02,28,1954-02-28,02:00:00,3,AL,1,1,1,0,0,3.0,0.0,32.92,-86.82,33.03,-86.65,12.5,167,1,1,1,21,0,0,0,0
20,1954,03,01,1954-03-01,04:10:00,3,VA,51,1,0,0,0,3.0,0.0,36.83,-77.78,0.0,0.0,0.1,10,1,1,1,25,0,0,0,0
21,1954,03,04,1954-03-04,12:15:00,3,AZ,4,1,0,0,0,0.0,0.0,31.95,-110.95,0.0,0.0,0.1,10,1,1,1,19,0,0,0,1
22,1954,03,11,1954-03-11,17:55:00,3,KS,20,1,2,0,0,3.0,0.0,39.45,-98.68,0.0,0.0,0.1,10,1,1,1,141,0,0,0,0
23,1954,03,12,1954-03-12,12:20:00,3,KS,20,2,1,0,0,3.0,0.0,39.58,-95.47,0.0,0.0,0.1,10,1,1,1,5,0,0,0,0
24,1954,03,12,1954-03-12,18:00:00,3,IL,17,1,1,3,0,5.0,0.0,39.88,-89.92,40.18,-89.32,38.6,10,1,1,1,167,129,107,0,0
25,1954,03,12,1954-03-12,23:00:00,3,IN,18,1,1,0,0,2.0,0.0,39.32,-87.37,0.0,0.0,0.1,10,1,1,1,167,0,0,0,0
26,1954,03,13,1954-03-13,20:40:00,3,AL,1,2,3,20,2,7.0,0.0,32.33,-85.03,32.37,-84.93,7.0,1480,2,0,1,0,0,0,0,0
26,1954,03,13,1954-03-13,20:40:00,3,AL,1,2,3,0,0,4.0,0.0,32.33,-85.03,32.35,-85.02,1.9,880,2,1,2,113,0,0,0,0
26,1954,03,13,1954-03-13,20:45:00,3,GA,13,1,3,20,2,7.0,0.0,32.35,-85.02,32.37,-84.93,5.1,600,2,1,2,53,0,0,0,0
27,1954,03,13,1954-03-13,21:20:00,3,GA,13,2,3,75,5,6.0,0.0,32.53,-84.37,32.87,-83.62,49.5,300,1,1,1,269,79,21,0,0
28,1954,03,13,1954-03-13,21:30:00,3,GA,13,3,1,0,0,4.0,0.0,32.6,-84.18,32.63,-84.15,3.3,200,1,1,1,269,0,0,0,0
29,1954,03,13,1954-03-13,21:30:00,3,GA,13,4,1,5,1,4.0,0.0,32.57,-84.07,32.63,-83.5,34.4,300,1,1,1,269,79,225,153,0
30,1954,03,15,1954-03-15,20:00:00,3,PA,42,1,0,0,0,2.0,0.0,40.73,-77.53,0.0,0.0,2.0,10,1,1,1,87,0,0,0,0
31,1954,03,18,1954-03-18,10:30:00,3,KS,20,3,1,0,0,3.0,0.0,37.43,-97.6,0.0,0.0,0.1,10,1,1,1,191,0,0,0,0
32,1954,03,18,1954-03-18,11:00:00,3,KS,20,4,0,0,0,0.0,0.0,38.48,-97.3,0.0,0.0,0.1,10,1,1,1,115,0,0,0,0
33,1954,03,18,1954-03-18,11:15:00,3,KS,20,5,1,0,0,3.0,0.0,38.8,-96.97,0.0,0.0,0.1,10,1,1,1,41,0,0,0,0
34,1954,03,18,1954-03-18,11:35:00,3,KS,20,6,1,0,0,3.0,0.0,39.03,-96.92,0.0,0.0,2.0,440,1,1,1,61,0,0,0,0
35,1954,03,18,1954-03-18,11:55:00,3,KS,20,7,1,0,0,0.0,0.0,38.37,-96.55,0.0,0.0,0.1,10,1,1,1,17,0,0,0,0
36,1954,03,18,1954-03-18,12:00:00,3,KS,20,15,1,0,0,3.0,0.0,39.38,-96.77,0.0,0.0,0.3,33,1,1,1,161,0,0,0,0
37,1954,03,18,1954-03-18,12:00:00,3,KS,20,16,2,0,0,0.0,0.0,39.67,-95.52,0.0,0.0,0.1,10,1,1,1,13,0,0,0,0
38,1954,03,18,1954-03-18,12:15:00,3,KS,20,8,1,0,0,2.0,0.0,38.62,-96.2,0.0,0.0,2.0,440,1,1,1,111,0,0,0,0
39,1954,03,18,1954-03-18,12:25:00,3,KS,20,9,2,0,0,3.0,0.0,38.75,-96.12,0.0,0.0,0.1,10,1,1,1,197,0,0,0,0
40,1954,03,18,1954-03-18,12:30:00,3,KS,20,10,1,0,0,2.0,0.0,38.68,-95.97,0.0,0.0,0.1,10,1,1,1,111,0,0,0,0
41,1954,03,18,1954-03-18,13:10:00,3,KS,20,11,1,0,0,3.0,0.0,38.9,-95.7,0.0,0.0,0.1,10,1,1,1,177,0,0,0,0
43,1954,03,18,1954-03-18,13:15:00,3,KS,20,13,1,0,0,2.0,0.0,39.85,-95.52,0.0,0.0,2.5,133,1,1,1,13,0,0,0,1
42,1954,03,18,1954-03-18,13:15:00,3,KS,20,12,2,0,0,3.0,0.0,38.78,-95.55,0.0,0.0,0.1,10,1,1,1,139,0,0,0,0
44,1954,03,18,1954-03-18,13:30:00,3,KS,20,14,1,0,0,0.0,0.0,39.27,-95.27,0.0,0.0,0.1,100,1,1,1,87,0,0,0,0
45,1954,03,19,1954-03-19,12:00:00,3,IN,18,2,2,0,0,4.0,0.0,39.65,-85.13,0.0,0.0,0.1,10,1,1,1,41,0,0,0,0
46,1954,03,19,1954-03-19,17:00:00,3,IN,18,3,1,0,0,3.0,0.0,40.2,-86.33,0.0,0.0,0.1,10,1,1,1,23,0,0,0,0
47,1954,03,19,1954-03-19,19:50:00,3,OH,39,1,1,0,0,5.0,0.0,39.47,-82.75,0.0,0.0,1.0,33,1,1,1,141,73,0,0,0
48,1954,03,24,1954-03-24,15:15:00,3,OK,40,1,1,0,0,0.0,0.0,36.53,-98.17,0.0,0.0,0.1,880,1,1,1,3,0,0,0,0
49,1954,03,24,1954-03-24,15:30:00,3,OK,40,2,2,0,0,4.0,0.0,35.18,-98.55,35.23,-98.52,4.3,77,1,1,1,15,0,0,0,0
50,1954,03,24,1954-03-24,19:05:00,3,OK,40,3,2,0,0,4.0,0.0,36.93,-97.1,36.97,-97.07,2.7,200,1,1,1,71,0,0,0,0
51,1954,03,24,1954-03-24,20:30:00,3,KS,20,17,2,0,0,3.0,0.0,38.73,-95.05,0.0,0.0,0.1,10,1,1,1,59,45,121,0,0
52,1954,03,24,1954-03-24,21:00:00,3,KS,20,18,2,0,0,4.0,0.0,37.72,-95.52,37.95,-95.23,22.2,880,1,1,1,205,133,1,0,0
53,1954,03,24,1954-03-24,21:15:00,3,OK,40,4,1,0,0,3.0,0.0,36.0,-96.12,36.05,-96.1,3.6,200,1,1,1,37,0,0,0,0
54,1954,03,24,1954-03-24,21:25:00,3,OK,40,5,2,0,0,5.0,0.0,35.82,-95.68,0.0,0.0,1.0,10,1,1,1,101,0,0,0,0
55,1954,03,24,1954-03-24,21:30:00,3,TX,48,4,1,4,0,4.0,0.0,33.15,-96.82,33.15,-96.73,4.9,67,1,1,1,85,0,0,0,0
56,1954,03,24,1954-03-24,21:30:00,3,KS,20,19,1,0,0,4.0,0.0,37.2,-95.62,0.0,0.0,2.0,440,1,1,1,125,0,0,0,0
57,1954,03,24,1954-03-24,21:45:00,3,KS,20,20,1,0,0,0.0,0.0,37.17,-94.83,0.0,0.0,0.1,17,1,1,1,21,0,0,0,0
58,1954,03,24,1954-03-24,22:00:00,3,MO,29,1,1,0,0,4.0,0.0,36.55,-93.97,36.73,-93.6,23.9,50,1,1,1,9,0,0,0,0
59,1954,03,24,1954-03-24,22:00:00,3,MO,29,2,1,0,0,5.0,0.0,37.45,-94.4,37.58,-94.17,15.7,33,1,1,1,11,0,0,0,0
